date,orig,error,dest,start_time,end_time,duration,economy_price,comfort_price,premier_price,check_again
08/03/2014,London,False,Frankfurt,12:58PM,9:30PM,8:32:00,$314,$460,$738,False
07/26/2014,London,False,Geneva,12:25PM,10:18PM,9:53:00,$488,$529,$735,False
07/29/2014,London,False,Geneva,7:31AM,4:30PM,8:59:00,$459,$500,$735,False
07/29/2014,London,False,Geneva,12:25PM,10:18PM,9:53:00,$488,$529,$697,False
07/29/2014,London,False,Geneva,1:31PM,10:18PM,8:47:00,$417,$461,$697,False
08/03/2014,London,False,Geneva,12:25PM,10:18PM,9:53:00,$417,$461,$764,False
08/03/2014,London,False,Geneva,1:01PM,10:18PM,9:17:00,$488,$529,$764,False
08/03/2014,London,False,Geneva,1:31PM,10:18PM,8:47:00,$366,$461,$764,False
07/26/2014,London,False,Dusseldorf,8:57AM,3:42PM,6:45:00,$428,$451,$626,False
07/29/2014,London,False,Dusseldorf,8:04AM,3:42PM,7:38:00,$235,$326,$601,False
07/29/2014,London,False,Dusseldorf,8:58AM,3:42PM,6:44:00,$235,$326,$601,False
07/29/2014,London,False,Dusseldorf,10:58AM,5:01PM,6:03:00,$270,$398,$676,False
08/03/2014,London,False,Dusseldorf,8:58AM,3:42PM,6:44:00,$248,$310,$577,False
07/26/2014,London,False,Amsterdam,8:57AM,3:42PM,6:45:00,$440,$463,$659,False
07/26/2014,London,False,Amsterdam,9:00AM,3:42PM,6:42:00,$512,$553,$798,False
07/26/2014,London,False,Amsterdam,10:58AM,5:42PM,6:44:00,$440,$463,$659,False
07/26/2014,London,False,Amsterdam,11:01AM,5:42PM,6:41:00,$512,$553,$798,False
07/29/2014,London,True,Amsterdam,,,,,,,False
08/03/2014,London,False,Amsterdam,8:58AM,3:56PM,6:58:00,$276,$338,$659,False
08/03/2014,London,False,Amsterdam,11:01AM,5:56PM,6:55:00,$430,$474,$798,False
08/03/2014,London,False,Amsterdam,12:58PM,6:56PM,5:58:00,$276,$338,$659,False
07/26/2014,Porto,True,Manchester,,,,,,,False
07/29/2014,Porto,True,Manchester,,,,,,,False
08/03/2014,Porto,True,Manchester,,,,,,,False
07/26/2014,Vantaa,True,London,,,,,,,False
07/29/2014,Vantaa,True,London,,,,,,,False
08/03/2014,Vantaa,True,London,,,,,,,False
07/26/2014,Stockholm,True,London,,,,,,,False
07/29/2014,Stockholm,True,London,,,,,,,False
08/03/2014,Stockholm,True,London,,,,,,,False
07/26/2014,Luxembourg,False,London,8:11AM,1:00PM,4:49:00,$382,$614,$716,False
07/26/2014,Luxembourg,False,London,10:11AM,3:30PM,5:19:00,$382,$513,$716,False
07/29/2014,Luxembourg,False,London,8:20AM,2:03PM,5:43:00,$245,$349,$635,False
07/29/2014,Luxembourg,False,London,8:20AM,2:03PM,5:43:00,$188,$301,$553,False
07/29/2014,Luxembourg,False,London,10:11AM,4:00PM,5:49:00,$309,$513,$716,False
07/29/2014,Luxembourg,False,London,10:20AM,4:03PM,5:43:00,$188,$301,$553,False
07/29/2014,Luxembourg,False,London,11:20AM,4:57PM,5:37:00,$168,$267,$553,False
08/03/2014,Luxembourg,False,London,8:11AM,1:30PM,5:19:00,$371,$418,$621,False
08/03/2014,Luxembourg,False,London,8:11AM,1:00PM,4:49:00,$298,$328,$621,False
08/03/2014,Luxembourg,False,London,10:11AM,3:00PM,4:49:00,$298,$355,$648,False
08/03/2014,Luxembourg,False,London,10:20AM,4:03PM,5:43:00,$250,$373,$553,False
08/03/2014,Luxembourg,False,London,11:20AM,4:57PM,5:37:00,$323,$373,$553,False
07/26/2014,London,True,Copenhagen,,,,,,,False
07/29/2014,London,True,Copenhagen,,,,,,,False
08/03/2014,London,True,Copenhagen,,,,,,,False
07/26/2014,Vantaa,True,Munich,,,,,,,False
07/29/2014,Vantaa,True,Munich,,,,,,,False
08/03/2014,Vantaa,True,Munich,,,,,,,False
07/26/2014,Munich,True,London,,,,,,,False
07/29/2014,Munich,False,London,10:50PM,12:30PM,"-1 day, 13:40:00",$386,$604,$900,False
08/03/2014,Munich,False,London,10:50PM,12:30PM,"-1 day, 13:40:00",$549,$705,$900,False
07/26/2014,Basel,False,London,8:34AM,2:39PM,6:05:00,$452,$490,$723,False
07/26/2014,Basel,False,London,10:34AM,4:39PM,6:05:00,$430,$468,$723,False
07/26/2014,Basel,False,London,10:34AM,4:39PM,6:05:00,$430,$468,$723,False
07/26/2014,Basel,False,London,12:34PM,6:30PM,5:56:00,$430,$569,$723,False
07/26/2014,Basel,False,London,2:34PM,8:39PM,6:05:00,$430,$468,$723,False
07/29/2014,Basel,False,London,8:34AM,2:39PM,6:05:00,$430,$468,$723,False
07/29/2014,Basel,False,London,10:34AM,4:39PM,6:05:00,$430,$468,$723,False
07/29/2014,Basel,False,London,10:34AM,4:39PM,6:05:00,$395,$433,$723,False
07/29/2014,Basel,False,London,12:34PM,6:30PM,5:56:00,$430,$569,$723,False
07/29/2014,Basel,False,London,2:34PM,8:41PM,6:07:00,$322,$433,$723,False
08/03/2014,Basel,False,London,8:34AM,2:39PM,6:05:00,$452,$490,$694,False
08/03/2014,Basel,False,London,10:34AM,4:39PM,6:05:00,$430,$468,$723,False
08/03/2014,Basel,False,London,10:34AM,4:39PM,6:05:00,$430,$468,$723,False
08/03/2014,Basel,False,London,12:34PM,6:30PM,5:56:00,$520,$569,$723,False
08/03/2014,Basel,False,London,2:34PM,8:39PM,6:05:00,$430,$468,$723,False
07/26/2014,Madrid,True,London,,,,,,,False
07/29/2014,Madrid,True,London,,,,,,,False
08/03/2014,Madrid,True,London,,,,,,,False
07/26/2014,Vienna,True,London,,,,,,,False
07/29/2014,Vienna,False,London,7:30AM,7:37PM,12:07:00,$325,$440,$525,False
07/29/2014,Vienna,False,London,9:00AM,9:37PM,12:37:00,$326,$440,$525,False
07/29/2014,Vienna,False,London,9:30AM,9:37PM,12:07:00,$325,$440,$525,False
08/03/2014,Vienna,False,London,7:30AM,7:37PM,12:07:00,$325,$440,$496,False
08/03/2014,Vienna,False,London,9:00AM,9:37PM,12:37:00,$326,$440,$496,False
08/03/2014,Vienna,False,London,9:30AM,9:37PM,12:07:00,$325,$440,$496,False
07/26/2014,London,True,Helsinki,,,,,,,False
07/29/2014,London,True,Helsinki,,,,,,,False
08/03/2014,London,True,Helsinki,,,,,,,False
07/26/2014,Manchester,True,Amsterdam,,,,,,,False
07/29/2014,Manchester,True,Amsterdam,,,,,,,False
08/03/2014,Manchester,True,Amsterdam,,,,,,,False
07/26/2014,Zurich,True,Frankfurt,,,,,,,False
07/29/2014,Zurich,False,Frankfurt,8:00AM,11:53AM,3:53:00,$169,$271,,True
07/29/2014,Zurich,False,Frankfurt,8:30AM,1:08PM,4:38:00,$182,$294,,True
07/29/2014,Zurich,False,Frankfurt,8:34AM,1:08PM,4:34:00,$182,$284,,True
07/29/2014,Zurich,False,Frankfurt,9:00AM,1:08PM,4:08:00,$182,$284,,True
07/29/2014,Zurich,False,Frankfurt,9:05AM,2:08PM,5:03:00,$194,$300,,True
08/03/2014,Zurich,False,Frankfurt,8:00AM,11:53AM,3:53:00,$169,$271,,True
08/03/2014,Zurich,False,Frankfurt,8:30AM,1:08PM,4:38:00,$182,$294,,True
08/03/2014,Zurich,False,Frankfurt,8:34AM,1:08PM,4:34:00,$182,$284,,True
08/03/2014,Zurich,False,Frankfurt,9:00AM,1:08PM,4:08:00,$182,$284,,True
08/03/2014,Zurich,False,Frankfurt,9:05AM,2:08PM,5:03:00,$194,$300,,True
07/26/2014,Zurich,True,Manchester,,,,,,,False
07/29/2014,Zurich,True,Manchester,,,,,,,False
08/03/2014,Zurich,True,Manchester,,,,,,,False
07/26/2014,Oslo,True,London,,,,,,,False
07/29/2014,Oslo,True,London,,,,,,,False
08/03/2014,Oslo,True,London,,,,,,,False
07/26/2014,London,True,Budapest,,,,,,,False
07/29/2014,London,True,Budapest,,,,,,,False
08/03/2014,London,True,Budapest,,,,,,,False
07/26/2014,Zurich,True,Amsterdam,,,,,,,False
07/29/2014,Zurich,True,Amsterdam,,,,,,,False
08/03/2014,Zurich,True,Amsterdam,,,,,,,False
07/26/2014,London,True,Istanbul,,,,,,,False
07/29/2014,London,True,Istanbul,,,,,,,False
08/03/2014,London,True,Istanbul,,,,,,,False
07/26/2014,Stockholm,True,Frankfurt,,,,,,,False
07/29/2014,Stockholm,False,Frankfurt,8:21AM,10:00PM,13:39:00,$426,$842,$859,False
07/29/2014,Stockholm,False,Frankfurt,8:21AM,11:55PM,15:34:00,$426,$842,$859,False
07/29/2014,Stockholm,False,Frankfurt,12:21PM,7:02AM,"-1 day, 18:41:00",$426,$842,$859,False
08/03/2014,Stockholm,False,Frankfurt,8:21AM,11:00PM,14:39:00,$843,,,True
08/03/2014,Stockholm,False,Frankfurt,10:21AM,5:29AM,"-1 day, 19:08:00",$843,,,True
08/03/2014,Stockholm,False,Frankfurt,12:21PM,6:40AM,"-1 day, 18:19:00",$954,$954,,True
08/03/2014,Stockholm,False,Frankfurt,12:21PM,5:29AM,"-1 day, 17:08:00",$843,,,True
07/26/2014,London,False,Aberdeen,8:30AM,3:47PM,7:17:00,$279,$279,$416,False
07/26/2014,London,False,Aberdeen,9:30AM,5:06PM,7:36:00,$279,$416,,True
07/26/2014,London,False,Aberdeen,10:30AM,6:15PM,7:45:00,$279,$279,$416,False
07/26/2014,London,False,Aberdeen,10:43AM,6:57PM,8:14:00,$279,$279,$416,False
07/26/2014,London,False,Aberdeen,11:30AM,6:57PM,7:27:00,$279,$279,$416,False
07/29/2014,London,True,Aberdeen,,,,,,,False
08/03/2014,London,False,Aberdeen,9:00AM,4:33PM,7:33:00,$279,$279,$416,False
08/03/2014,London,False,Aberdeen,10:00AM,5:09PM,7:09:00,$142,$295,,True
08/03/2014,London,False,Aberdeen,11:00AM,6:25PM,7:25:00,$279,$279,$416,False
08/03/2014,London,False,Aberdeen,11:00AM,6:42PM,7:42:00,$279,$279,$242,False
08/03/2014,London,False,Aberdeen,12:00PM,7:35PM,7:35:00,$279,$279,$416,False
07/26/2014,London,True,Edinburgh,,,,,,,False
07/29/2014,London,False,Edinburgh,8:00AM,12:22PM,4:22:00,$162,$390,,True
07/29/2014,London,False,Edinburgh,8:43AM,2:22PM,5:39:00,$232,$344,,True
07/29/2014,London,False,Edinburgh,9:00AM,1:22PM,4:22:00,$162,$187,,True
07/29/2014,London,False,Edinburgh,9:30AM,2:15PM,4:45:00,$121,$187,,True
07/29/2014,London,False,Edinburgh,10:00AM,2:22PM,4:22:00,$121,$281,,True
08/03/2014,London,False,Edinburgh,9:00AM,1:16PM,4:16:00,$121,$187,,True
08/03/2014,London,False,Edinburgh,9:30AM,2:18PM,4:48:00,$121,$187,,True
08/03/2014,London,False,Edinburgh,10:00AM,2:21PM,4:21:00,$121,$230,,True
08/03/2014,London,False,Edinburgh,10:20AM,2:56PM,4:36:00,$236,$281,,True
08/03/2014,London,False,Edinburgh,10:30AM,3:08PM,4:38:00,$121,$230,,True
07/26/2014,London,True,Belfast,,,,,,,False
07/29/2014,London,True,Belfast,,,,,,,False
08/03/2014,London,True,Belfast,,,,,,,False
07/26/2014,London,True,London,,,,,,,False
07/29/2014,London,True,London,,,,,,,False
08/03/2014,London,True,London,,,,,,,False
07/26/2014,Birmingham,True,Belfast,,,,,,,False
07/29/2014,Birmingham,True,Belfast,,,,,,,False
08/03/2014,Birmingham,True,Belfast,,,,,,,False
07/26/2014,Manchester,False,London,8:15AM,10:24AM,2:09:00,$131,$100,,True
07/26/2014,Manchester,False,London,8:35AM,10:43AM,2:08:00,$131,$100,,True
07/26/2014,Manchester,False,London,8:55AM,11:08AM,2:13:00,$131,$127,,True
07/26/2014,Manchester,False,London,9:15AM,11:24AM,2:09:00,$67,$100,,True
07/26/2014,Manchester,False,London,9:35AM,11:43AM,2:08:00,$131,$100,,True
07/29/2014,Manchester,False,London,8:15AM,10:24AM,2:09:00,$212,$262,,True
07/29/2014,Manchester,False,London,8:35AM,10:43AM,2:08:00,$212,$262,,True
07/29/2014,Manchester,False,London,8:55AM,11:08AM,2:13:00,$212,$262,,True
07/29/2014,Manchester,False,London,9:15AM,11:24AM,2:09:00,$212,$262,,True
07/29/2014,Manchester,False,London,9:35AM,11:43AM,2:08:00,$148,$166,,True
08/03/2014,Manchester,False,London,8:05AM,10:58AM,2:53:00,$67,$100,,True
08/03/2014,Manchester,False,London,8:20AM,11:02AM,2:42:00,$67,$100,,True
08/03/2014,Manchester,False,London,8:27AM,11:37AM,3:10:00,$71,$103,,True
08/03/2014,Manchester,False,London,9:20AM,12:09PM,2:49:00,$67,$100,,True
08/03/2014,Manchester,False,London,9:27AM,12:32PM,3:05:00,$71,$169,,True
07/26/2014,Newcastle,False,London,8:03AM,11:45AM,3:42:00,$116,$184,,True
07/26/2014,Newcastle,False,London,9:00AM,12:22PM,3:22:00,$227,$227,$391,False
07/26/2014,Newcastle,False,London,9:00AM,12:56PM,3:56:00,$116,$227,,True
07/26/2014,Newcastle,False,London,9:10AM,1:29PM,4:19:00,$227,$391,$391,False
07/26/2014,Newcastle,False,London,9:35AM,1:30PM,3:55:00,$227,$391,,True
07/29/2014,Newcastle,False,London,8:25AM,11:42AM,3:17:00,$221,$389,,True
07/29/2014,Newcastle,False,London,8:59AM,11:51AM,2:52:00,$116,$332,,True
07/29/2014,Newcastle,False,London,9:10AM,12:30PM,3:20:00,$227,$391,,True
07/29/2014,Newcastle,False,London,9:30AM,12:43PM,3:13:00,$116,$227,,True
07/29/2014,Newcastle,False,London,10:00AM,12:51PM,2:51:00,$116,$227,,True
08/03/2014,Newcastle,False,London,8:50AM,11:55AM,3:05:00,$116,$149,,True
08/03/2014,Newcastle,False,London,9:25AM,12:42PM,3:17:00,$116,$149,,True
08/03/2014,Newcastle,False,London,9:35AM,12:43PM,3:08:00,$227,$227,$391,False
08/03/2014,Newcastle,False,London,10:00AM,12:55PM,2:55:00,$116,$149,,True
08/03/2014,Newcastle,False,London,10:29AM,1:42PM,3:13:00,$116,$184,,True
07/26/2014,Edinburgh,False,Aberdeen,8:28AM,10:54AM,2:26:00,$63,$143,,True
07/26/2014,Edinburgh,False,Aberdeen,9:28AM,11:51AM,2:23:00,$63,$143,,True
07/26/2014,Edinburgh,False,Aberdeen,10:28AM,1:03PM,2:35:00,$37,$49,,True
07/26/2014,Edinburgh,False,Aberdeen,11:28AM,1:50PM,2:22:00,$63,$143,,True
07/29/2014,Edinburgh,False,Aberdeen,8:28AM,10:54AM,2:26:00,$46,$143,,True
07/29/2014,Edinburgh,False,Aberdeen,9:29AM,11:46AM,2:17:00,$46,$143,,True
07/29/2014,Edinburgh,False,Aberdeen,10:28AM,1:03PM,2:35:00,$25,$43,,True
07/29/2014,Edinburgh,False,Aberdeen,11:28AM,1:50PM,2:22:00,$46,$143,,True
08/03/2014,Edinburgh,False,Aberdeen,8:04AM,10:29AM,2:25:00,$61,$118,,True
08/03/2014,Edinburgh,False,Aberdeen,9:10AM,11:47AM,2:37:00,$25,$43,,True
08/03/2014,Edinburgh,False,Aberdeen,9:15AM,12:05PM,2:50:00,$46,$143,,True
08/03/2014,Edinburgh,False,Aberdeen,10:50AM,1:20PM,2:30:00,$63,$143,,True
08/03/2014,Edinburgh,False,Aberdeen,11:34AM,2:22PM,2:48:00,$63,$143,,True
07/26/2014,London,True,Leeds,,,,,,,False
07/29/2014,London,False,Leeds,8:03AM,10:16AM,2:13:00,$93,$161,,True
07/29/2014,London,False,Leeds,8:35AM,10:48AM,2:13:00,$74,$128,,True
07/29/2014,London,False,Leeds,9:03AM,11:16AM,2:13:00,$74,$128,,True
07/29/2014,London,False,Leeds,9:35AM,11:48AM,2:13:00,$58,$92,,True
07/29/2014,London,False,Leeds,10:03AM,12:16PM,2:13:00,$58,$92,,True
08/03/2014,London,False,Leeds,9:03AM,11:26AM,2:23:00,$58,$92,,True
08/03/2014,London,False,Leeds,9:30AM,12:05PM,2:35:00,$93,$243,,True
08/03/2014,London,False,Leeds,9:48AM,12:08PM,2:20:00,$182,$342,,True
08/03/2014,London,False,Leeds,10:03AM,12:21PM,2:18:00,$58,$128,,True
08/03/2014,London,False,Leeds,10:30AM,1:04PM,2:34:00,$93,$243,,True
07/26/2014,London,False,Bradford,8:03AM,10:55AM,2:52:00,$75,$75,$131,False
07/26/2014,London,False,Bradford,9:03AM,11:55AM,2:52:00,$95,$95,$131,False
07/26/2014,London,False,Bradford,9:30AM,12:55PM,3:25:00,$95,$95,$345,False
07/29/2014,London,False,Bradford,8:03AM,10:53AM,2:50:00,$95,$95,$162,False
07/29/2014,London,False,Bradford,8:03AM,10:55AM,2:52:00,$95,$95,$162,False
07/29/2014,London,False,Bradford,8:35AM,11:24AM,2:49:00,$75,$75,$131,False
07/29/2014,London,False,Bradford,9:03AM,11:53AM,2:50:00,$75,$75,$131,False
07/29/2014,London,False,Bradford,9:03AM,11:55AM,2:52:00,$75,$75,$131,False
08/03/2014,London,False,Bradford,9:03AM,12:01PM,2:58:00,$58,$58,$93,False
08/03/2014,London,False,Bradford,9:48AM,12:45PM,2:57:00,$185,$345,,True
08/03/2014,London,False,Bradford,10:03AM,1:01PM,2:58:00,$58,$58,$131,False
08/03/2014,London,False,Bradford,10:30AM,1:45PM,3:15:00,$95,$95,$245,False
08/03/2014,London,False,Bradford,11:03AM,2:01PM,2:58:00,$75,$75,$131,False
07/26/2014,Bristol,False,Aberdeen,8:30AM,5:06PM,8:36:00,$373,$865,,True
07/26/2014,Bristol,False,Aberdeen,8:30AM,5:53PM,9:23:00,$373,$373,$865,False
07/26/2014,Bristol,False,Aberdeen,9:30AM,6:57PM,9:27:00,$373,$373,$865,False
07/26/2014,Bristol,False,Aberdeen,10:30AM,6:57PM,8:27:00,$373,$373,$865,False
07/29/2014,Bristol,True,Aberdeen,,,,,,,False
08/03/2014,Bristol,False,Aberdeen,9:03AM,7:35PM,10:32:00,$373,$373,$865,False
08/03/2014,Bristol,False,Aberdeen,10:02AM,7:35PM,9:33:00,$373,$373,$865,False
08/03/2014,Bristol,False,Aberdeen,10:30AM,8:42PM,10:12:00,$182,$459,,True
07/26/2014,Humberside,True,Aberdeen,,,,,,,False
07/29/2014,Humberside,True,Aberdeen,,,,,,,False
08/03/2014,Humberside,True,Aberdeen,,,,,,,False
07/26/2014,Edinburgh,False,Cardiff,8:52AM,2:53PM,6:01:00,$312,$312,$705,False
07/26/2014,Edinburgh,False,Cardiff,9:08AM,4:25PM,7:17:00,$244,$364,,True
07/26/2014,Edinburgh,False,Cardiff,10:52AM,4:53PM,6:01:00,$312,$312,$705,False
07/29/2014,Edinburgh,True,Cardiff,,,,,,,False
08/03/2014,Edinburgh,False,Cardiff,10:51AM,4:52PM,6:01:00,$312,$312,$705,False
07/26/2014,Nottingham,False,Glasgow,8:17AM,2:07PM,5:50:00,$195,$353,$353,False
07/26/2014,Nottingham,False,Glasgow,8:17AM,2:12PM,5:55:00,$195,$353,$353,False
07/26/2014,Nottingham,False,Glasgow,8:48AM,2:29PM,5:41:00,$219,$353,,True
07/26/2014,Nottingham,False,Glasgow,9:47AM,3:17PM,5:30:00,$219,$353,$353,False
07/26/2014,Nottingham,False,Glasgow,10:17AM,4:06PM,5:49:00,$217,$353,$353,False
07/29/2014,Nottingham,False,Glasgow,8:18AM,2:07PM,5:49:00,$217,$353,$353,False
07/29/2014,Nottingham,False,Glasgow,8:18AM,2:12PM,5:54:00,$217,$353,$353,False
07/29/2014,Nottingham,False,Glasgow,8:47AM,2:29PM,5:42:00,$219,$353,,True
07/29/2014,Nottingham,False,Glasgow,9:47AM,3:17PM,5:30:00,$219,$353,$353,False
07/29/2014,Nottingham,False,Glasgow,10:17AM,4:06PM,5:49:00,$118,$353,$353,False
08/03/2014,Nottingham,False,Glasgow,9:47AM,3:16PM,5:29:00,$219,$107,$107,False
08/03/2014,Nottingham,False,Glasgow,10:12AM,4:13PM,6:01:00,$219,$353,$353,False
08/03/2014,Nottingham,False,Glasgow,10:48AM,4:28PM,5:40:00,$219,$353,,True
08/03/2014,Nottingham,False,Glasgow,11:44AM,5:17PM,5:33:00,$219,$190,$190,False
07/26/2014,Manchester,False,Aberdeen,8:46AM,2:50PM,6:04:00,$200,$354,$354,False
07/26/2014,Manchester,False,Aberdeen,10:16AM,3:47PM,5:31:00,$200,$354,,True
07/26/2014,Manchester,False,Aberdeen,10:26AM,5:06PM,6:40:00,$260,$378,$378,False
07/26/2014,Manchester,False,Aberdeen,10:57AM,5:53PM,6:56:00,$260,$378,$378,False
07/29/2014,Manchester,False,Aberdeen,10:16AM,3:47PM,5:31:00,$200,$354,,True
07/29/2014,Manchester,False,Aberdeen,10:26AM,5:06PM,6:40:00,$260,$378,$378,False
07/29/2014,Manchester,False,Aberdeen,10:46AM,5:06PM,6:20:00,$200,$354,$354,False
07/29/2014,Manchester,False,Aberdeen,10:57AM,5:53PM,6:56:00,$260,$378,$378,False
08/03/2014,Manchester,False,Aberdeen,9:16AM,3:05PM,5:49:00,$200,$354,,True
08/03/2014,Manchester,False,Aberdeen,10:06AM,5:09PM,7:03:00,$260,$378,$378,False
